season,slot,strongseed,weakseed
S,Y11,Y11a,Y11b
S,Y16,Y16a,Y16b
S,R1W1,W01,W16
S,R1W2,W02,W15
S,R1W3,W03,W14
S,R1W4,W04,W13
S,R1W5,W05,W12
S,R1W6,W06,W11
S,R1W7,W07,W10
S,R1W8,W08,W09
S,R1X1,X01,X16a
S,R1X2,X02,X15
S,R1X3,X03,X14
S,R1X4,X04,X13
S,R1X5,X05,X12
S,R1X6,X06,X11
S,R1X7,X07,X10
S,R1X8,X08,X09
S,R1Y1,Y01,Y16
S,R1Y2,Y02,Y15
S,R1Y3,Y03,Y14
S,R1Y4,Y04,Y13
S,R1Y5,Y05,Y12a
S,R1Y6,Y06,Y11
S,R1Y7,Y07,Y10
S,R1Y8,Y08,Y09
S,R1Z1,Z01,Z16
S,R1Z2,Z02,Z15
S,R1Z3,Z03,Z14
S,R1Z4,Z04,Z13
S,R1Z5,Z05,Z12
S,R1Z6,Z06,Z11
S,R1Z7,Z07,Z10
S,R1Z8,Z08,Z09
S,R2W1,R1W1,R1W8
S,R2W2,R1W2,R1W7
S,R2W3,R1W3,R1W6
S,R2W4,R1W4,R1W5
S,R2X1,R1X1,R1X8
S,R2X2,R1X2,R1X7
S,R2X3,R1X3,R1X6
S,R2X4,R1X4,R1X5
S,R2Y1,R1Y1,R1Y8
S,R2Y2,R1Y2,R1Y7
S,R2Y3,R1Y3,R1Y6
S,R2Y4,R1Y4,R1Y5
S,R2Z1,R1Z1,R1Z8
S,R2Z2,R1Z2,R1Z7
S,R2Z3,R1Z3,R1Z6
S,R2Z4,R1Z4,R1Z5
S,R3W1,R2W1,R2W4
S,R3W2,R2W2,R2W3
S,R3X1,R2X1,R2X4
S,R3X2,R2X2,R2X3
S,R3Y1,R2Y1,R2Y4
S,R3Y2,R2Y2,R2Y3
S,R3Z1,R2Z1,R2Z4
S,R3Z2,R2Z2,R2Z3
S,R4W1,R3W1,R3W2
S,R4X1,R3X1,R3X2
S,R4Y1,R3Y1,R3Y2
S,R4Z1,R3Z1,R3Z2
S,R5WX,R4W1,R4X1
S,R5YZ,R4Y1,R4Z1
S,R6CH,R5WX,R5YZ
